rank,content_hash_id,priority_score,action,reason_code,days_since_last_update,impressions_30d,users_30d,ctr,avg_position
5695,content_858cac71d60f9785,0.6657324247809998,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,140,0,0.0,33.07512506012506
5696,content_367a54721ccae968,0.6657022846430316,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,1,4481,43,0.005802276277616604,10.625234255299226
5697,content_5e61ea61b70a80e4,0.6657006859136303,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,540,3,0.001851851851851852,17.42279363429457
5698,content_21492f118f7bc97b,0.6656893023233753,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,131,0,0.0,25.095424251205184
5699,content_4502535eb7fdbf65,0.6656870871795868,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,426,3,0.004694835680751174,12.503467799137178
5700,content_30ee715a863485a3,0.665649823630018,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,4,1358,6,0.0,14.191026098384636
5701,content_ecdf35d1c2b1ac6b,0.6656450766692268,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,136,0,0.0,68.14422568172567
5702,content_1857068cc039c04a,0.6656414362283898,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,3589,5,0.0013931457230426303,20.861653328240784
5703,content_24e6001ac50c1d3e,0.6655830879009108,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,3274,48,0.016493585827733658,25.19953846044954
5704,content_452c5b3c09ae95a5,0.6655614300185685,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,107,0,0.0,20.02491789819376
5705,content_c6b5dc06e11d65f7,0.6655613203166104,REVIEW,VISIBLE_LOW_CTR,41,942,0,0.0,6.118197864814455
5706,content_0b225d4ed6470938,0.6655345339176224,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,127,1493,3,0.0020093770931011385,34.147833120379744
5707,content_ec90fe22466c8a1b,0.6655060927403051,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,1660,5,0.0018072289156626507,10.777271045394224
5708,content_2571d2c91789ee7c,0.6654798510165779,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,868,11,0.0034562211981566822,19.78175450341257
5709,content_476a94fade740655,0.665403205393226,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,125,383,1,0.0,52.447775285815666
5710,content_69c154cb87ef9c9d,0.665399944408762,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,1620,2,0.0012345679012345679,30.05914159837238
5711,content_aeb32dbac805a84c,0.665387842052716,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,1050,11,0.002857142857142857,19.053657288279997
5712,content_c0c3bd0c19aff863,0.6653791992178374,REVIEW,VISIBLE_LOW_CTR,18,3409,20,0.0032267527134056907,9.754527480527702
5713,content_8412a65a34c02cdc,0.6653788208594992,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,182,13,0.0,47.71201415072383
5714,content_f94d1937b8cd4ddc,0.6653453823951369,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,257,0,0.0,65.40869582926035
5715,content_7b8ac34c47437779,0.6653441739621527,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,1915,32,0.01671018276762402,25.651976104765218
5716,content_d879010c1b445263,0.6653431306378902,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,7891,3,0.00012672665061462426,10.627663547299923
5717,content_0db79b29f40cc026,0.6653032347561345,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,170,0,0.0,11.007220241632007
5718,content_2bf3dcaac4b3dca9,0.6652927706993308,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,163,0,0.0,60.12352092352092
5719,content_f897c3e3d3ac6dcf,0.6652879119463797,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,152,0,0.0,42.37171306906601
5720,content_2fdf37a7bc7389db,0.6652203255698969,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,1139,80,0.009657594381035996,14.843429941825416
5721,content_c959fea4996f7e7f,0.6652044583769022,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,8,1094,6,0.0009140767824497258,11.461230343088516
5722,content_f1286119755fe03f,0.6651637787479966,REVIEW,VISIBLE_STALE_LOW_CTR,125,400,16,0.0225,8.377094950441315
5723,content_df39a504d7efdab4,0.6651469396335943,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,4723,9,0.002117298327334321,32.77788398310404
5724,content_7fd06558a68e59b9,0.6651282965279849,REVIEW,VISIBLE_LOW_CTR,18,8890,12,0.0015748031496062992,7.760034819559256
5725,content_26bbbdcfae488edc,0.6651107056600973,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,109,8,0.0,34.60826839826839
5726,content_e185b59787350a36,0.6650588421524306,REVIEW,VISIBLE_LOW_CTR,18,5497,12,0.0021830089139530653,7.880647735688314
5727,content_babc13e3c30146d8,0.6650509881598361,REVIEW,VISIBLE_LOW_CTR,41,1117,1,0.0008952551477170994,8.305821337602556
5728,content_fbb430097129b382,0.6650465745784405,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,271,0,0.0036900369003690036,34.849057239057245
5729,content_94a2d824e5b434c1,0.6650438166572291,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,398,12,0.002512562814070352,23.254147173427025
5730,content_c929148ab13850d0,0.6650255140200519,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,198,11,0.0,44.43819491911597
5731,content_65e68ed5f8c25ee9,0.6650035362613165,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,116,0,0.0,22.965873015873015
5732,content_448d5c07f104e9f2,0.6649979762754168,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,1484,4,0.0006738544474393531,41.630743148355826
5733,content_bca3f7fa4f444d2e,0.6649702799979711,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,630,7,0.0015873015873015873,16.69269856346688
5734,content_ac357e759d6e72c5,0.6649258484289312,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,221,0,0.0,72.14759705164117
5735,content_c92ffd413aee9e75,0.6649198593214013,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,4830,4,0.0010351966873706005,24.01567587948668
5736,content_c5da115062019ce5,0.6648953535165351,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,102,0,0.0,12.397364953886692
5737,content_007c73f1f29fb2ef,0.6648852840712446,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,135,0,0.0,39.96555405378935
5738,content_e72bb275e51a92d5,0.6648850227642348,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,216,8,0.0,46.56847722189109
5739,content_5d371823083a4cd1,0.6648790942633088,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,369,9,0.0,38.00410683851585
5740,content_e176c5ef7cc6c613,0.6648620609880485,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,8,1335,4,0.00149812734082397,12.469285614175124
5741,content_c5baa3a03cfccc41,0.6648072037354827,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,46,4205,16,0.0038049940546967895,11.336210247689731
5742,content_7b29707c3cf2cad6,0.6648042384360263,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,107,0,0.0,20.893415637860084
5743,content_2ee66a70f9bfe4e3,0.6647459640012251,REVIEW,VISIBLE_STALE_LOW_CTR,125,599,5,0.00667779632721202,9.575087453998501
5744,content_b02133e1089154a7,0.6647011385363738,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,108,0,0.0,56.72713854772678
5745,content_94b65e9a2e79988d,0.6646797633517018,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,117,0,0.0,12.763492063492063
5746,content_69ff5e5085dfd153,0.664676740216915,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,2938,2,0.0010211027910142954,37.561972270483295
5747,content_3fa9053c321d7dca,0.6646690580341531,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,874,1,0.0011441647597254005,29.971689479559377
5748,content_653bbcddf2314227,0.6646642794892779,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,41,2802,5,0.0017844396859386152,29.58156739994765
5749,content_e14fea42a9054b8f,0.6646580769851658,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,107,0,0.0,17.188888888888886
5750,content_75b6269fd796d207,0.6646227877635955,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,123,0,0.0,22.04913900913901
5751,content_c13193acf22740b5,0.6646209338298278,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,300,0,0.0,58.527228356417226
5752,content_754a016120fc0cf1,0.6645792273749352,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,384,19,0.0026041666666666665,23.41968103581007
5753,content_872edd0612b78c2e,0.6645308471070596,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,145,0,0.0,24.00432178932179
5754,content_b411cc397fbca602,0.6645102335397398,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,160,0,0.0,40.941769913093445
5755,content_b94b23e5dd5e9124,0.6644736423462513,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,174,0,0.0,49.75330891330891
5756,content_89293304ae6976ef,0.664398168073035,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,1086,7,0.001841620626151013,19.577008178608562
5757,content_aa7100acbeca5e0a,0.664394876684426,REVIEW,VISIBLE_STALE_LOW_CTR_LOW_POSITION,127,268,4,0.007462686567164179,15.898752007006276
5758,content_875a9a848e78bae5,0.6643913875554704,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,18,194,0,0.0,63.32973379017496
5759,content_2e513faaf90c7d49,0.6643561775187466,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,6,593,7,0.0,20.932356953023753
5760,content_accaf3e26ce501cc,0.6643333145700293,REVIEW,VISIBLE_LOW_CTR_LOW_POSITION,13,864,5,0.0,11.356191645532888
